Target;TargetType;TargetMethod;Job;JobMode;JobPlatform;JobJit;JobFramework;JobRuntime;Params;MeasurementLaunchIndex;MeasurementIterationMode;MeasurementIterationIndex;MeasurementNanoseconds;MeasurementOperations;MeasurementValue
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainWarmup;2;253247309;16384;15456.99
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainWarmup;3;284196056;16384;17345.95
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainWarmup;4;288082632;16384;17583.17
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainWarmup;5;257376436;16384;15709.01
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;1;257321188;16384;15705.64
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;2;257933868;16384;15743.03
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;3;262159733;16384;16000.96
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;4;255637538;16384;15602.88
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;5;253551928;16384;15475.58
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;6;260857746;16384;15921.49
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;7;254099207;16384;15508.98
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;8;253366516;16384;15464.26
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;9;252462107;16384;15409.06
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;MainTarget;10;254469526;16384;15531.59
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;1;257282740;16384;15703.29
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;2;257895420;16384;15740.69
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;3;262121285;16384;15998.61
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;4;255599090;16384;15600.53
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;5;253513480;16384;15473.23
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;6;260819298;16384;15919.15
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;7;254060759;16384;15506.64
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;8;253328068;16384;15461.92
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;9;252423659;16384;15406.72
Md5VsSha256.Md5;Md5VsSha256;Md5;Core;Throughput;Host;Host;Host;Core;;2;Result;10;254431078;16384;15529.24
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;1;286191;4;71547.75
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;2;194063;8;24257.88
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;3;377263;16;23578.94
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;4;749746;32;23429.56
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;5;1547029;64;24172.33
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;6;2987140;128;23337.03
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;7;5993027;256;23410.26
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;8;12874058;512;25144.64
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;9;24795424;1024;24214.28
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;10;50028859;2048;24428.15
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;11;100207581;4096;24464.74
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Pilot;12;209922545;8192;25625.31
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleWarmup;1;19125;8192;2.33
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleWarmup;2;17027;8192;2.08
